city,name,wyId,country
Seoul,Korea Republic,14855,Korea Republic
Moskva,Russia,14358,Russia
Solna,Sweden,7047,Sweden
El Menzah,Tunisia,16276,Tunisia
"Rio de Janeiro, Rio de Janeiro",Brazil,6380,Brazil
Frankfurt am Main,Germany,3148,Germany
Rabat,Morocco,16216,Morocco
Bogot\u00e1 D.C.,Colombia,12430,Colombia
Ciudad de Panam\u00e1,Panama,17929,Panama
Sydney,Australia,8493,Australia
"Buenos Aires, Ciudad de Buenos Aires",Argentina,12274,Argentina
Lisboa,Portugal,9905,Portugal
Bruxelles (Brussel),Belgium,5629,Belgium
Br\u00f8ndby,Denmark,7712,Denmark
Montevideo,Uruguay,15670,Uruguay
San Jos\u00e9,Costa Rica,16871,Costa Rica
London,England,2413,England
Cairo,Egypt,16129,Egypt
T\u014dky\u014d (Tokyo),Japan,12913,Japan
Tehr\u0101n (Teheran),Iran,10840,Iran
Reykjav\u00edk,Iceland,7839,Iceland
Zagreb,Croatia,9598,Croatia
"Coyoac\u00e1n, Ciudad de M\u00e9xico (D.F.)",Mexico,15473,Mexico
Dakar,Senegal,19314,Senegal
Lima,Peru,15594,Peru
Paris,France,4418,France
Ar-Riy\u0101\u1e0d (Riyadh),Saudi Arabia,16521,Saudi Arabia
Las Rozas,Spain,1598,Spain
Beograd,Serbia,17322,Serbia
Bern,Switzerland,6697,Switzerland
Warszawa,Poland,13869,Poland
Abuja,Nigeria,16823,Nigeria
